part.str,Type,k
JA 2,STR,0.003126452
JA 3,STR,0.00266725
JA 4,STR,0.002485959
JARU 1,STR,0.004895934
JARU 2,STR,0.006087097
JARU 3,STR,0.004188042
JARU 4,STR,0.003821132
JC 1,STR,0.075264257
JC 2,STR,0.045674256
JC 3,STR,0.089897697
JC 4,STR,0.135611287
JESM 1,STR,0.001488649
JESM 2,STR,0.002468547
JESM 3,STR,0.001863822
JESM 4,STR,0.001874599
JESM 11,STR,0.002893213
JESM 12,STR,0.003802274
JESM 13,STR,0.003243626
JESM 14,STR,0.003650046
JFGJ 1,STR,0.009948395
JFGJ 2,STR,0.009503273
JFGJ 3,STR,0.012433685
JFGJ 4,STR,0.004195807
JH 1,STR,0.104437435
JH 2,STR,0.002275371
JH 3,STR,0.106057591
JH 4,STR,0.006422781
JN 1,STR,0.039121764
JN 2,STR,0.045062771
JN 3,STR,0.032630228
JN 4,STR,0.060352928
JOCU 1,STR,0.00436536
JOCU 2,STR,0.009373939
JOCU 3,STR,0.004297746
JOCU 4,STR,0.005644033
JOHU 1,STR,0.034472417
JOHU 2,STR,0.064973186
JOHU 3,STR,0.034559368
JOHU 4,STR,0.026756573
JORI 1,STR,0.005400318
JORI 2,STR,0.00219484
JORI 3,STR,0.002237082
JORI 4,STR,0.001991783
JPM 1,STR,0.002992642
JPM 2,STR,0.042895954
JPM 3,STR,0.026791514
JPM 4,STR,0.045395679
JR 1,STR,0.002814273
JR 2,STR,0.026175934
JR 3,STR,0.003699333
JR 4,STR,0.014746378
JS 1,STR,0.006984138
JS 2,STR,0.025669912
JS 3,STR,0.028073446
JS 4,STR,0.007576897
JT 1,STR,0.062073444
JT 2,STR,0.098509235
JT 3,STR,0.072505922
JT 4,STR,0.061716746
JUCO 1,STR,0.002848577
JUCO 2,STR,0.002805267
JUCO 3,STR,0.002194234
JUCO 4,STR,0.002658227
1-Jun,STR,0.006444148
2-Jun,STR,0.037646787
3-Jun,STR,0.032518027
4-Jun,STR,0.010354655
JW 1,STR,0.089907487
JW 2,STR,0.047234226
JW 3,STR,0.04129999
JW 4,STR,0.016840892
JZ 1,STR,0.002967012
JZ 2,STR,0.009594244
JZ 3,STR,0.032647112
JZ 4,STR,0.024669164
KC 1,STR,0.105392133
KC 2,STR,0.20233336
KC 3,STR,0.117854719
KF 1,STR,0.002628553
KF 2,STR,0.002105955
KF 3,STR,0.002656201
KF 4,STR,0.003247779
KK 1,STR,0.003826866
KK 2,STR,0.001729649
KK 3,STR,0.00718315
KK 4,STR,0.005149728
KM 1,STR,0.002589717
KM 2,STR,0.002516494
KM 3,STR,0.002337527
KM 4,STR,0.001790293
KRS 1,STR,0.04993602
KRS 2,STR,0.113316941
KRS 3,STR,0.20011864
KRS 4,STR,0.104721405
LB 2,STR,0.073783986
LB 3,STR,0.003142668
LB 4,STR,0.054569537
LEB 1,STR,0.005232562
LEB 2,STR,0.012475927
LEB 3,STR,0.002954863
LEB 4,STR,0.002429724
LEVO 1,STR,0.012168586
LEVO 2,STR,0.001894115
LEVO 3,STR,0.01105699
